"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4783","parametrized methods @smoke","chromium","2026-04-19","passed","2026-04-19","","tests\usePageObjects.spec.ts","",""
"","8503","navigate to form page @smoke @regression","chromium","2026-04-19","passed","2026-04-19","","tests\usePageObjects.spec.ts","",""
